split,file,crop_idx,SSIM,Edge_IoU,L1
repair,repair_03,0,0.09552092185893842,0.004975124378109453,33.51142883300781
replace,replace_03,0,0.6781602893853209,0.23321787893781956,7.405872821807861
repair,repair_02,0,0.7778712189140798,0.1917808219178082,5.540484428405762
replace,replace_02,0,0.6977910189733266,0.24536654181057546,7.404391288757324
repair,repair_01,0,0.6722173900214939,0.1339251254341953,12.037964820861816
repair,repair_01,0,0.6690474905712621,0.13444725082572373,11.904478073120117
repair,repair_02,0,0.7738107055155524,0.1917808219178082,5.593055725097656
repair,repair_03,0,0.09146985448995062,0.0056179775280898875,34.5806884765625
replace,replace_02,0,0.7283034469746791,0.2571415657204845,6.931849002838135
replace,replace_03,0,0.6885902222840863,0.24325753569539926,7.144760608673096
replace,replace_03,1,0.633960000119748,0.19034696646636945,10.564346313476562
replace,replace_03,2,0.7064434889620979,0.2577194752774975,6.5770440101623535
AVG,AVG,AVG,0.6010988373392113,0.1741314238258234,12.433030366897583
