Experiment_ID,Dataset_Type,Method_GAC,Method_Crop,YOLO_Version,Backbone,Accuracy_Mean,Accuracy_Std,Note
001,Original,FALSE,FALSE,None,VGG16,94.67 ,0.014 ,Baseline
002,Original,FALSE,FALSE,None,ResNet152,94.93 ,0.018 ,Baseline
003,Original,FALSE,FALSE,None,MobileNetV1,93.81 ,0.006 ,Baseline
004,Original,FALSE,FALSE,None,MobileNetV2,91.15 ,0.014 ,Baseline
005,Original,FALSE,FALSE,None,MobileNetV3,95.39 ,0.005 ,Baseline
006,GAC_Only,TRUE,FALSE,None,VGG16,88.71 ,0.015 ,Ablation (GAC)
007,GAC_Only,TRUE,FALSE,None,ResNet152,87.80 ,0.010 ,Ablation (GAC)
008,GAC_Only,TRUE,FALSE,None,MobileNetV1,86.74 ,0.010 ,Ablation (GAC)
009,GAC_Only,TRUE,FALSE,None,MobileNetV2,84.92 ,0.009 ,Ablation (GAC)
010,GAC_Only,TRUE,FALSE,None,MobileNetV3,86.13 ,0.009 ,Ablation (GAC)
011,Crop_Only,FALSE,TRUE,YOLOv2,VGG16,92.52 ,0.015 ,Ablation (Crop)
012,Crop_Only,FALSE,TRUE,YOLOv2,ResNet152,92.08 ,0.003 ,Ablation (Crop)
013,Crop_Only,FALSE,TRUE,YOLOv2,MobileNetV1,92.66 ,0.006 ,Ablation (Crop)
014,Crop_Only,FALSE,TRUE,YOLOv2,MobileNetV2,91.43 ,0.002 ,Ablation (Crop)
015,Crop_Only,FALSE,TRUE,YOLOv2,MobileNetV3,94.00 ,0.003 ,Ablation (Crop)
016,Crop_Only,FALSE,TRUE,YOLOv4,VGG16,91.95 ,0.008 ,Ablation (Crop)
017,Crop_Only,FALSE,TRUE,YOLOv4,ResNet152,91.42 ,0.005 ,Ablation (Crop)
018,Crop_Only,FALSE,TRUE,YOLOv4,MobileNetV1,92.92 ,0.009 ,Ablation (Crop)
019,Crop_Only,FALSE,TRUE,YOLOv4,MobileNetV2,91.75 ,0.002 ,Ablation (Crop)
020,Crop_Only,FALSE,TRUE,YOLOv4,MobileNetV3,93.32 ,0.005 ,Ablation (Crop)
021,Crop_Only,FALSE,TRUE,YOLOv5,VGG16,97.26 ,0.012 ,Ablation (Crop)
